date,value
2022-09-12,55.353139
2022-09-13,37.808296
2022-09-14,36.827354
2022-09-15,35.369955
2022-09-16,30.064444
2022-09-19,31.894619
2022-09-20,26.633025
2022-09-21,21.754976
2022-09-22,16.096467
2022-09-23,10.796411
2022-09-26,9.368864
2022-09-27,10.014025
2022-09-28,14.421998
2022-09-29,11.335578
2022-09-30,10.827489
2022-10-03,15.203366
2022-10-04,24.179523
2022-10-05,23.618513
2022-10-06,22.926009
2022-10-07,16.816143
2022-10-10,16.456406
2022-10-11,16.007850
2022-10-12,16.148024
2022-10-13,22.231567
2022-10-14,17.802075
2022-10-17,24.165966
2022-10-18,28.951794
2022-10-19,25.252242
2022-10-20,23.022995
2022-10-21,30.810205
2022-10-24,33.669750
2022-10-25,43.425848
2022-10-26,45.276142
2022-10-27,46.651723
2022-10-28,55.281591
2022-10-31,54.413001
2022-11-01,56.458392
2022-11-02,46.959933
2022-11-03,45.403587
2022-11-04,50.602410
2022-11-07,53.012048
2022-11-08,53.378189
2022-11-09,47.867565
2022-11-10,64.113356
2022-11-11,67.508418
2022-11-14,64.702581
2022-11-15,67.471232
2022-11-16,64.289725
2022-11-17,62.671906
2022-11-18,64.570466
2022-11-21,62.549130
2022-11-22,65.197867
2022-11-23,66.769576
2022-11-25,67.779024
2022-11-28,62.815480
2022-11-29,63.740886
2022-11-30,69.742008
2022-12-01,69.534753
2022-12-02,70.543722
2022-12-05,62.948430
2022-12-06,58.067227
2022-12-07,55.589801
2022-12-08,57.174888
2022-12-09,53.867713
2022-12-12,56.698430
2022-12-13,57.847534
2022-12-14,55.409193
2022-12-15,46.147380
2022-12-16,42.432735
2022-12-19,35.596073
2022-12-20,36.728395
2022-12-21,41.891134
2022-12-22,36.503928
2022-12-23,38.636364
2022-12-27,36.159461
2022-12-28,29.149115
2022-12-29,39.180466
2022-12-30,37.468425
2023-01-03,37.514029
2023-01-04,43.602694
2023-01-05,39.478114
2023-01-06,50.911641
2023-01-09,51.528752
2023-01-10,57.054698
2023-01-11,63.899018
2023-01-12,69.882221
2023-01-13,72.293887
2023-01-17,71.957375
2023-01-18,63.825014
