date,value
2023-11-07,-0.970597
2023-11-08,-2.741291
2023-11-09,-6.512425
2023-11-10,-2.825342
2023-11-13,-2.855511
2023-11-14,4.368932
2023-11-15,1.569635
2023-11-16,-0.428082
2023-11-17,1.940639
2023-11-20,2.711187
2023-11-21,0.228376
2023-11-22,2.227299
2023-11-24,3.797830
2023-11-27,1.998858
2023-11-28,-0.342759
2023-11-29,0.970874
2023-11-30,2.198744
2023-12-01,6.594348
2023-12-04,6.451613
2023-12-05,1.142204
2023-12-06,0.856164
2023-12-07,2.454338
2023-12-08,4.367685
2023-12-11,4.053668
2023-12-12,3.169617
2023-12-13,10.768352
2023-12-14,12.621359
2023-12-15,5.766486
2023-12-18,4.624607
2023-12-19,10.248359
2023-12-20,0.485160
2023-12-21,6.392694
2023-12-22,8.133562
2023-12-26,12.357306
2023-12-27,11.044521
2023-12-28,6.019971
2023-12-29,1.169090
2024-01-02,1.852908
2024-01-03,0.057045
2024-01-04,1.055635
2024-01-05,1.055635
2024-01-08,2.853067
2024-01-09,0.913242
2024-01-10,0.656205
2024-01-11,-0.085568
2024-01-12,1.111745
2024-01-16,-1.624857
2024-01-17,-2.051867
2024-01-18,-0.427472
2024-01-19,2.337514
2024-01-22,5.441595
2024-01-23,2.363999
2024-01-24,1.452578
2024-01-25,3.646724
2024-01-26,3.588721
2024-01-29,7.061503
2024-01-30,5.182232
2024-01-31,-1.167426
2024-02-01,3.473804
2024-02-02,2.705782
2024-02-05,-2.590379
2024-02-06,1.679954
2024-02-07,2.619590
2024-02-08,4.756480
2024-02-09,7.289294
2024-02-12,7.510669
2024-02-13,-2.361309
2024-02-14,3.724765
2024-02-15,8.300171
2024-02-16,3.695281
2024-02-20,1.620239
2024-02-21,1.165435
2024-02-22,4.745666
2024-02-23,5.115090
2024-02-26,5.001421
2024-02-27,6.535948
2024-02-28,3.893151
2024-02-29,6.052856
2024-03-01,8.269395
2024-03-04,6.450696
2024-03-05,1.250711
2024-03-06,4.889142
2024-03-07,7.136764
2024-03-08,3.041501
2024-03-11,1.819215
2024-03-12,2.757248
2024-03-13,4.320637
2024-03-14,-1.420858
2024-03-15,1.051734
2024-03-18,0.540080
2024-03-19,3.638431
2024-03-20,8.494318
2024-03-21,11.079545
2024-03-22,2.328884
2024-03-25,1.988072
2024-03-26,1.392441
2024-03-27,9.346591
2024-03-28,8.941243
2024-04-01,3.094832
2024-04-02,0.425894
2024-04-03,2.924475
2024-04-04,-1.192166
2024-04-05,1.703578
2024-04-08,1.930173
2024-04-09,1.192166
2024-04-10,-2.866875
2024-04-11,-1.163781
2024-04-12,-5.339392
2024-04-15,-7.185459
2024-04-16,-6.702641
2024-04-17,-6.388416
2024-04-18,-4.173765
2024-04-19,-3.150724
2024-04-22,-1.788756
2024-04-23,0.851547
2024-04-24,0.056754
2024-04-25,-1.900709
2024-04-26,0.680658
2024-04-29,2.268217
2024-04-30,-2.098100
2024-05-01,0.141723
2024-05-02,2.494331
2024-05-03,3.825446
2024-05-06,5.580737
2024-05-07,4.730878
2024-05-08,3.426791
2024-05-09,6.228766
2024-05-10,3.707897
2024-05-13,2.037928
2024-05-14,5.575998
2024-05-15,7.217662
2024-05-16,3.508772
2024-05-17,3.932107
2024-05-20,3.507779
2024-05-21,3.223982
2024-05-22,0.622348
2024-05-23,-2.970297
2024-05-24,1.328810
2024-05-28,-0.113090
2024-05-29,-2.826456
2024-05-30,0.113026
2024-05-31,2.006216
2024-06-03,0.734671
2024-06-04,-1.582815
2024-06-05,0.904466
2024-06-06,-0.678349
2024-06-07,-2.656868
2024-06-10,-0.989259
2024-06-11,-1.159502
2024-06-12,0.876697
2024-06-13,-2.206506
2024-06-14,-4.639321
2024-06-17,-1.866516
2024-06-18,-2.488688
2024-06-20,-3.422914
2024-06-21,-2.347949
2024-06-24,-0.311262
2024-06-25,-2.915369
2024-06-26,-1.783692
2024-06-27,-0.056625
2024-06-28,0.820368
2024-07-01,-1.838755
2024-07-02,-1.583710
2024-07-03,-0.508906
2024-07-05,-1.470172
2024-07-08,-0.339271
2024-07-09,-2.317694
2024-07-10,1.526286
2024-07-11,7.205425
2024-07-12,8.307431
2024-07-15,11.578650
2024-07-16,18.695284
2024-07-17,10.223101
2024-07-18,1.298335
2024-07-19,0.282247
2024-07-22,7.505643
2024-07-23,9.932280
2024-07-24,0.733221
2024-07-25,6.484353
2024-07-26,11.555806
2024-07-29,3.974070
2024-07-30,6.846999
2024-07-31,5.405405
2024-08-01,0.309685
2024-08-02,-3.378378
2024-08-05,-9.574768
2024-08-06,-3.860242
2024-08-07,-6.903353
2024-08-08,-0.845309
2024-08-09,-2.592280
2024-08-12,-4.341697
2024-08-13,0.253664
2024-08-14,-0.760992
2024-08-15,2.254791
2024-08-16,2.649380
2024-08-19,5.524239
2024-08-20,0.817823
2024-08-21,4.483926
2024-08-22,2.284264
2024-08-23,10.039481
2024-08-26,6.429780
2024-08-27,4.906937
2024-08-28,2.481669
2024-08-29,4.963339
2024-08-30,8.631876
2024-09-03,-0.762066
2024-09-04,0.310471
2024-09-05,-1.326559
2024-09-06,-4.600621
2024-09-09,-1.524132
2024-09-10,-0.903189
2024-09-11,-0.451467
2024-09-12,2.849887
2024-09-13,7.195260
2024-09-16,7.447109
2024-09-17,5.528914
2024-09-18,3.213984
2024-09-19,11.358512
2024-09-20,3.691181
2024-09-23,4.143179
2024-09-24,3.890612
2024-09-25,-0.169205
2024-09-26,2.086858
2024-09-27,2.932055
2024-09-30,4.172540
2024-10-01,0.422654
2024-10-02,0.732601
2024-10-03,-0.422773
2024-10-04,4.226543
2024-10-07,-0.056322
2024-10-08,0.872748
2024-10-09,2.505631
2024-10-10,-0.591050
2024-10-11,6.079370
2024-10-14,7.374050
2024-10-15,5.657191
2024-10-16,12.492966
2024-10-17,9.113924
2024-10-18,6.833521
2024-10-21,1.433390
2024-10-22,0.674347
2024-10-23,-0.280978
2024-10-24,1.151685
2024-10-25,0.112360
2024-10-28,3.314607
2024-10-29,1.966845
2024-10-30,1.685867
2024-10-31,-2.191011
2024-11-01,-1.095198
2024-11-04,0.224593
2024-11-05,5.783268
2024-11-06,19.371140
2024-11-07,6.763963
2024-11-08,9.764310
2024-11-11,15.246637
2024-11-12,3.503363
2024-11-13,1.457399
2024-11-14,-1.513029
2024-11-15,-3.897925
2024-11-18,-1.374860
2024-11-19,0.420875
2024-11-20,1.458216
2024-11-21,7.289038
2024-11-22,12.054948
2024-11-25,14.325764
2024-11-26,7.737595
2024-11-27,5.634987
2024-11-29,5.887300
2024-12-02,4.845938
2024-12-03,3.051512
2024-12-04,4.451288
2024-12-05,1.707727
2024-12-06,2.323628
2024-12-09,2.211646
2024-12-10,1.708205
2024-12-11,1.848222
2024-12-12,-1.204144
2024-12-13,-2.323628
2024-12-16,-0.812097
2024-12-17,-2.435610
2024-12-18,-9.070549
2024-12-19,-7.362822
2024-12-20,-2.688323
2024-12-23,-2.521008
2024-12-24,0.028019
2024-12-26,1.764212
2024-12-27,-1.371397
2024-12-30,-1.482932
2024-12-31,-0.223901
2025-01-02,-0.531617
2025-01-03,1.398601
2025-01-06,0.839161
2025-01-07,-1.174825
2025-01-08,-2.377622
2025-01-10,-5.819810
2025-01-13,-2.881119
2025-01-14,-1.482517
2025-01-15,1.286353
2025-01-16,1.565996
2025-01-17,1.984349
2025-01-21,5.282281
2025-01-22,1.368715
2025-01-23,2.569832
2025-01-24,2.206088
2025-01-27,0.865197
2025-01-28,0.921016
2025-01-29,-0.055788
2025-01-30,3.404018
2025-01-31,-0.697545
2025-02-03,-3.291492
2025-02-04,0.836353
2025-02-05,3.429049
2025-02-06,1.477146
2025-02-07,-2.982163
2025-02-10,-1.588186
2025-02-11,-2.171492
2025-02-12,-2.143056
2025-02-13,3.256332
2025-02-14,1.501669
2025-02-18,2.252503
2025-02-19,1.001112
2025-02-20,-1.307008
2025-02-21,-4.336947
2025-02-24,-5.170976
